epoch;rtt;cp;
13/10/2016 00:17;40,37181236;0;
13/10/2016 00:21;40,45548537;0;
13/10/2016 00:25;40,50677893;0;
13/10/2016 00:29;40,54023776;0;
13/10/2016 00:33;40,39752888;0;
13/10/2016 00:37;40,30902688;0;
13/10/2016 00:41;40,302403;0;
13/10/2016 00:45;40,61665742;0;
13/10/2016 00:49;109,9017563;1;
13/10/2016 00:53;172,9488985;0;
13/10/2016 00:57;80,84843394;0;
13/10/2016 01:01;192,8383938;0;
13/10/2016 01:05;40,50849278;1;
13/10/2016 01:09;40,42778591;0;
13/10/2016 01:13;40,95824861;0;
13/10/2016 01:17;40,31593313;0;
13/10/2016 01:21;40,34623121;0;
13/10/2016 01:25;40,32775095;0;
13/10/2016 01:29;40,93267109;0;
13/10/2016 01:33;40,35679492;0;
13/10/2016 01:37;40,46866215;0;
13/10/2016 01:41;40,37839107;0;
13/10/2016 01:45;40,53253926;0;
13/10/2016 01:49;40,35860985;0;
13/10/2016 01:53;40,4141639;0;
13/10/2016 01:57;40,54822586;0;
13/10/2016 02:01;40,65882412;0;
13/10/2016 02:05;40,31883993;0;
13/10/2016 02:09;40,68682419;0;
13/10/2016 02:13;40,41159217;0;
13/10/2016 02:17;40,69020576;0;
13/10/2016 02:21;40,38104255;0;
13/10/2016 02:25;40,76343412;0;
13/10/2016 02:29;40,44126334;0;
13/10/2016 02:33;40,36756166;0;
13/10/2016 02:37;40,4607452;0;
13/10/2016 02:41;40,83690801;0;
13/10/2016 02:45;40,38297176;0;
13/10/2016 02:49;40,32567301;0;
13/10/2016 02:53;40,49498994;0;
13/10/2016 02:57;40,44023393;0;
13/10/2016 03:01;40,39428995;0;
13/10/2016 03:05;40,29676303;0;
13/10/2016 03:09;40,41221986;0;
13/10/2016 03:13;40,65304411;0;
13/10/2016 03:17;40,44163042;0;
13/10/2016 03:21;40,61685535;0;
13/10/2016 03:25;40,50733005;0;
13/10/2016 03:29;40,74019025;0;
13/10/2016 03:33;40,4068173;0;
13/10/2016 03:37;40,31776649;0;
13/10/2016 03:41;40,35428105;0;
13/10/2016 03:45;40,75936901;0;
13/10/2016 03:49;40,32072587;0;
13/10/2016 03:53;40,45549925;0;
13/10/2016 03:57;40,88810132;0;
13/10/2016 04:01;40,69804689;0;
13/10/2016 04:05;40,32086844;0;
13/10/2016 04:09;40,32891242;0;
13/10/2016 04:13;40,33247998;0;
13/10/2016 04:17;40,33969661;0;
13/10/2016 04:21;40,36911465;0;
13/10/2016 04:25;40,44518712;0;
13/10/2016 04:29;40,31049156;0;
13/10/2016 04:33;40,35649388;0;
13/10/2016 04:37;40,315539;0;
13/10/2016 04:41;40,32930641;0;
13/10/2016 04:45;40,99312125;0;
13/10/2016 04:49;40,46578716;0;
13/10/2016 04:53;40,43762179;0;
13/10/2016 04:57;40,3794343;0;
13/10/2016 05:01;40,36705328;0;
13/10/2016 05:05;40,60896184;0;
13/10/2016 05:09;40,36971803;0;
13/10/2016 05:13;40,66618253;0;
13/10/2016 05:17;40,85812072;0;
13/10/2016 05:21;40,67557267;0;
13/10/2016 05:25;41,44692408;0;
13/10/2016 05:29;40,54449152;0;
13/10/2016 05:33;40,38786585;0;
13/10/2016 05:37;40,71592386;0;
13/10/2016 05:41;40,5165439;0;
13/10/2016 05:45;40,38615992;0;
13/10/2016 05:49;41,06509847;0;
13/10/2016 05:53;40,29589058;0;
